mQp,mUb,Uo,my1,my,h1,mUp,mQ0,y1,vol1,y2,vol2,dy,A1,Cvb,sumsqrt
8.50986865278144e-05,1,1,0.456472197573866,0.0932050220229535,0.5,8.50986865278144e-05,4.87375481501314e-05,0.456472197573866,0,0.0932050220229535,0,-0.000647690095925539,0.0154,0.00015938,0.602716496829904
8.54384763041041e-05,1,1,0.456407927934675,0.0935122366120509,0.5,8.54384763041041e-05,4.88177148414701e-05,0.456407927934675,0,0.0935122366120509,0,-0.000644499869709156,0.0154,0.00015938,0.60240824307327
8.62852464057253e-05,1,1,0.456344483882891,0.0938191201486041,0.5,8.62852464057253e-05,4.88975317147105e-05,0.456344483882891,0,0.0938191201486041,0,-0.000641317950806754,0.0154,0.00015938,0.602100792006029
8.59503443528018e-05,1,1,0.456280175936352,0.0941239870731789,0.5,8.59503443528018e-05,4.89770012848533e-05,0.456280175936352,0,0.0941239870731789,0,-0.000638144318220195,0.0154,0.00015938,0.601794141599246
8.52515408671052e-05,1,1,0.456215821038195,0.0944276582312093,0.5,8.52515408671052e-05,4.90561260384278e-05,0.456215821038195,0,0.0944276582312093,0,-0.000634978951051117,0.0154,0.00015938,0.601488289833631
8.64613567647161e-05,1,1,0.456153690883734,0.0947324092000838,0.5,8.64613567647161e-05,4.91349084339478e-05,0.456153690883734,0,0.0947324092000838,0,-0.000631821828499718,0.0154,0.00015938,0.601183234699413
8.6700714706796e-05,1,1,0.456090042005408,0.0950345003742901,0.5,8.6700714706796e-05,4.92133509023573e-05,0.456090042005408,0,0.0950345003742901,0,-0.000572597163892739,0.0154,0.00015938,0.600878974196234
8.76225077014786e-05,1,1,0.456033858771056,0.0953373172139372,0.5,8.76225077014786e-05,4.92914564711683e-05,0.456033858771056,0,0.0953373172139372,0,-0.000569504742760951,0.0154,0.00015938,0.600580170799135
8.61973693316124e-05,1,1,0.455975637439882,0.0956369721940392,0.5,8.61973693316124e-05,4.93692281352696e-05,0.455975637439882,0,0.0956369721940392,0,-0.00056642046960502,0.0154,0.00015938,0.600282154695475
8.78967869896226e-05,1,1,0.455920848685508,0.0959389397763531,0.5,8.78967869896226e-05,4.94466682366939e-05,0.455920848685508,0,0.0959389397763531,0,-0.000563344323894958,0.0154,0.00015938,0.599984923901555
8.60093651674996e-05,1,1,0.455862780300705,0.0962365115225631,0.5,8.60093651674996e-05,4.95237790917156e-05,0.455862780300705,0,0.0962365115225631,0,-0.000560276285193942,0.0154,0.00015938,0.599688476442679
8.61108007469064e-05,1,1,0.455807007172671,0.0965352660697457,0.5,8.61108007469064e-05,4.96005629912512e-05,0.455807007172671,0,0.0965352660697457,0,-0.000557216333157229,0.0154,0.00015938,0.599392810353048
8.6938583836423e-05,1,1,0.455752265983862,0.0968339438313798,0.5,8.6938583836423e-05,4.96770222012516e-05,0.455752265983862,0,0.0968339438313798,0,-0.000554164447531075,0.0154,0.00015938,0.599097923675656
8.74889693416403e-05,1,1,0.455697552183552,0.0971315439690863,0.5,8.74889693416403e-05,4.97531589630869e-05,0.455697552183552,0,0.0971315439690863,0,-0.000551120608151678,0.0154,0.00015938,0.598803814462187
